STATE,"Total
Seats","Total
Senate",Senate.Dem,Senate.Rep,"Senate
other",,"Total
House",House.Dem,House.Rep,"House
other",Leg.Control,Gov.Party,State.Control
Alabama,140,35,7,25,3v,,105,28,77,,Rep,Rep,Rep
Alaska,60,20,9,11,,,40,13,21,6,Rep,Rep,Rep
Arizona,90,30,14,16,,,60,29,31,,Rep,Dem,Divided
Arkansas,135,35,6,29,,,100,18,82,,Rep,Rep,Rep
California,120,40,32,8,,,80,62,18,,Dem,Dem,Dem
Colorado,100,35,23,12,,,65,46,19,,Dem,Dem,Dem
Connecticut,187,36,24,12,,,151,96,53,2v,Dem,Dem,Dem
Delaware,62,21,15,6,,,41,26,15,,Dem,Dem,Dem
Florida,160,40,12,28,,,120,35,84,1v,Rep,Rep,Rep
Georgia,236,56,23,33,,,180,79,100,1v,Rep,Rep,Rep
Hawaii,76,25,23,2,,,51,45,6,,Dem,Dem,Dem
Idaho,105,35,7,28,,,70,11,59,,Rep,Rep,Rep
Illinois,177,59,40,19,,,118,78,40,,Dem,Dem,Dem
Indiana,150,50,10,40,,,100,30,70,,Rep,Rep,Rep
Iowa,150,50,16,34,,,100,36,64,,Rep,Rep,Rep
Kansas,165,40,11,28,1,,125,40,85,,Rep,Dem,Divided
Kentucky,138,38,7,30,1v,,100,20,80,,Rep,Dem,Divided
Louisiana,144,39,12,27,,,105,33,69,"2, 1v",Rep,Dem,Divided
Maine,186,35,22,13,,,151,82,67,2,Dem,Dem,Dem
Maryland,188,47,33,13,1v,,141,101,39,1v,Dem,Dem,Dem
Massachusetts,200,40,37,3,,,160,134,25,1,Dem,Dem,Dem
Michigan,148,38,20,18,,,110,56,54,,Dem,Dem,Dem
Minnesota,201,67,34,33,,,134,70,64,,Dem,Dem,Dem
Mississippi,174,52,16,36,,,122,42,76,"3, 1v",Rep,Rep,Rep
Missouri,197,34,10,24,,,163,52,111,,Rep,Rep,Rep
Montana,150,50,16,34,,,100,32,68,,Rep,Rep,Rep
Nebraska,49,49,,,49,,Unicameral - nonpartisan,,,,N/A,Rep,N/A
Nevada,63,21,13,8,,,42,28,14,,Dem,Rep,Divided
New Hampshire,424,24,10,14,,,400,197,201,2v,Rep,Rep,Rep
New Jersey,120,40,25,15,,,80,46,34,,Dem,Dem,Dem
New Mexico,112,42,27,15,,,70,45,25,,Dem,Dem,Dem
New York,213,63,42,21,,,150,102,48,,Dem,Dem,Dem
North Carolina,170,50,20,30,,,120,49,71,,Rep,Dem,Divided
North Dakota,141,47,4,43,,,94,12,82,,Rep,Rep,Rep
Ohio,132,33,7,26,,,99,32,65,2v,Rep,Rep,Rep
Oklahoma,149,48,8,40,,,101,20,81,,Rep,Rep,Rep
Oregon,90,30,17,12,1,,60,35,25,,Dem,Dem,Dem
Pennsylvania,253,50,22,28,,,203,102,101,,Divided,Dem,Divided
Rhode Island,113,38,33,5,,,75,64,10,1,Dem,Dem,Dem
South Carolina,170,46,16,30,,,124,36,88,,Rep,Rep,Rep
South Dakota,105,35,4,31,,,70,7,63,,Rep,Rep,Rep
Tennessee,132,33,6,27,,,99,24,75,,Rep,Rep,Rep
Texas,181,31,12,19,,,150,64,86,,Rep,Rep,Rep
Utah,104,29,6,23,,,75,14,61,,Rep,Rep,Rep
Vermont,180,30,22,7,1,,150,104,38,8,Dem,Rep,Divided
Virginia,140,40,22,18,,,100,48,52,,Divided,Rep,Divided
Washington,147,49,29,20,,,98,58,40,,Dem,Dem,Dem
West Virginia,134,34,3,31,,,100,12,88,,Rep,Rep,Rep
Wisconsin,132,33,11,21,1v,,99,35,64,,Rep,Dem,Divided
Wyoming,93,31,2,29,,,62,5,57,,Rep,Rep,Rep
Total States,7386,1973,840,1075,,"52, 6
vacant",5413,2433,2946,"23, 11
vacant","28R, 19D,
2 Div.","26R,
24D","21R,
17D,
10 Div."
