2024 State & Legislative Partisan Composition,,,,,,,,,,"This presumes all current leads
in uncalled races hold. The results on the table are unofficial.",,
,,,,,,,9-Dec-24,,,,,
STATE,Total Seats,Total Senate,Senate Dem.,Senate Rep.,Senate other,Total House,House Dem.,House Rep.,House other,Leg. Control,Gov. Party,State Control
Alabama,140,35,8,27,,105,29,76,,Rep,Rep,Rep
Alaska,60,20,9,11,,40,14,21,5,Rep,Rep,Rep
Arizona,90,30,13,17,,60,27,33,,Rep,Dem,Divided
Arkansas,135,35,6,29,,100,19,81,,Rep,Rep,Rep
California,120,40,30,10,,80,60,20,,Dem,Dem,Dem
Colorado,100,35,23,12,,65,44,21,,Dem,Dem,Dem
Connecticut,187,36,25,11,,151,102,49,,Dem,Dem,Dem
Delaware,62,21,15,6,,41,27,14,,Dem,Dem,Dem
Florida,160,40,12,28,,120,35,85,,Rep,Rep,Rep
Georgia,236,56,23,33,,180,80,100,,Rep,Rep,Rep
Hawaii,76,25,22,3,,51,42,9,,Dem,Dem,Dem
Idaho,105,35,6,29,,70,9,61,,Rep,Rep,Rep
Illinois,177,59,40,19,,118,78,40,,Dem,Dem,Dem
Indiana,150,50,10,40,,100,30,70,,Rep,Rep,Rep
Iowa,150,50,15,35,,100,33,67,,Rep,Rep,Rep
Kansas,165,40,9,31,,125,37,88,,Rep,Dem,Divided
Kentucky,138,38,7,30,1,100,20,80,,Rep,Dem,Divided
Louisiana,144,39,11,28,,105,32,73,,Rep,Rep,Rep
Maine,186,35,20,15,,151,76,73,2,Dem,Dem,Dem
Maryland,188,47,34,13,,141,102,39,,Dem,Dem,Dem
Massachusetts,200,40,35,5,,160,134,25,1,Dem,Dem,Dem
Michigan,148,38,20,18,,110,52,58,,Divided,Dem,Divided
Minnesota,201,67,34,33,,134,67,67,,Divided,Dem,Divided
Mississippi,174,52,16,36,,122,41,79,2,Rep,Rep,Rep
Missouri,197,34,10,24,,163,52,111,,Rep,Rep,Rep
Montana,150,50,18,32,,100,42,58,,Rep,Rep,Rep
Nebraska,49,49,0,0,49,Unicameral - nonpartisan,,,,N/A,Rep,N/A
Nevada,63,21,13,8,,42,27,15,,Dem,Rep,Divided
New Hampshire,424,24,8,16,,400,178,222,,Rep,Rep,Rep
New Jersey,120,40,25,15,,80,52,28,,Dem,Dem,Dem
New Mexico,112,42,26,16,,70,44,26,,Dem,Dem,Dem
New York,213,63,41,22,,150,103,47,,Dem,Dem,Dem
North Carolina,170,50,20,30,,120,49,71,,Rep,Dem,Divided
North Dakota,141,47,5,42,,94,11,83,,Rep,Rep,Rep
Ohio,132,33,9,24,,99,34,65,,Rep,Rep,Rep
Oklahoma,149,48,8,40,,101,20,81,,Rep,Rep,Rep
Oregon,90,30,18,12,,60,36,24,,Dem,Dem,Dem
Pennsylvania,253,50,22,28,,203,102,101,,Divided,Dem,Divided
Rhode Island,113,38,34,4,,75,64,10,1,Dem,Dem,Dem
South Carolina,170,46,12,34,,124,36,88,,Rep,Rep,Rep
South Dakota,105,35,3,32,,70,6,64,,Rep,Rep,Rep
Tennessee,132,33,6,27,,99,24,75,,Rep,Rep,Rep
Texas,181,31,11,20,,150,62,88,,Rep,Rep,Rep
Utah,104,29,6,23,,75,14,61,,Rep,Rep,Rep
Vermont,180,30,16,13,1,150,87,56,7,Dem,Rep,Divided
Virginia,140,40,21,19,,100,51,49,,Dem,Rep,Divided
Washington,147,49,30,19,,98,59,39,,Dem,Dem,Dem
West Virginia,134,34,2,32,,100,9,91,,Rep,Rep,Rep
Wisconsin,132,33,15,18,,99,45,54,,Rep,Dem,Divided
Wyoming,93,31,2,29,,62,6,56,,Rep,Rep,Rep
Total States,7386,1973,824,1098,51,5413,2403,2992,18,"28R, 18D,
3 Div.","27R,
23D","23R,
15D,
11 Div."
U.S. Territories,Total Seats,Total Senate,Senate Dem.,Senate Rep.,Senate other,Total House,House Dem.,House Rep.,House Other,Leg. Control,Gov. Party,
American Samoa,39,18,Non-partisan,,18,21,Non-partisan,,21,N/A,Dem,N/A
District of Columbia,13,13,11,0,2,Unicameral,,,,Dem,N/A,N/A
Guam,15,15,7,8,,Unicameral,,,,Rep,Dem,Divided
Mariana Islands,29,9,2,4,3,20,4,3,13,Divided,Ind,Divided
Puerto Rico,78,27,8 PDP,17 NPP,2,51,19 PDP,28 NPP,4,NPP,NPP,NPP
Virgin Islands,15,15,0,0,15,Unicameral - nonpartisan,,,,N/A,Dem,N/A
National Conference of State Legislatures,,,"(Abbreviations: vacancy, undecided, recall, Covenant Party,New Progressive Party, Popular Democratic Party)",,,,,,,,,
